52.96.79.168 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 993 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 995 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 587 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 110 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 25 		 06/10/2020 	 Shodan	Passive
52.96.79.66 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
52.173.190.158 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
52.173.190.158 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
198.49.23.144 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
198.49.23.144 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
192.0.78.190 	 N/A 	 None 	 tcp 	 80 		 06/10/2020 	 Shodan	Passive
192.0.78.190 	 N/A 	 None 	 tcp 	 443 		 06/10/2020 	 Shodan	Passive
